product_id,product_name,category,subcategory,brand,color,size,weight,material,model_number,sku,upc,price,cost,supplier,warranty_period,release_date,rating,stock_quantity,discontinued
P0001,FitLife Snacks Mini,Food,Snacks,FitLife,Green,XL,2.31,Plastic,FI-SN-980,SKU-0001,779319356710,27.63,13.57,Toy Factory Ltd,6 months,2024-12-28,4.0,179,false
P0002,ZoomToys Plush Classic,Toys,Plush,ZoomToys,Blue,S,1.37,Plastic,ZO-PL-152,SKU-0002,591227929210,58.91,36.3,Tech Supplies Inc,30 days,2021-11-29,4.1,546,false
P0003,CuddleTime Wearables Max,Electronics,Wearables,CuddleTime,Clear,S,1.43,Fabric,CU-WE-683,SKU-0003,976805047096,16.01,7.46,Kitchen Warehouse,90 days,2023-06-25,4.1,490,false
P0004,ChefMate Lighting Classic,Home,Lighting,ChefMate,Black,L,1.37,Glass,CH-LI-201,SKU-0004,190291158925,21.13,15.3,Toy Factory Ltd,90 days,2023-07-02,4.4,693,false
P0005,BrightHome Wearables Classic,Electronics,Wearables,BrightHome,Clear,M,2.44,Glass,BR-WE-354,SKU-0005,436516507468,236.7,118.14,Sports Wholesale,2 years,2024-02-23,4.8,454,false
P0006,ChefMate Outdoor Pro,Sports,Outdoor,ChefMate,Blue,OneSize,1.9,Fabric,CH-OU-956,SKU-0006,752663639612,46.91,34.93,Organic Foods Co,1 year,2021-07-01,4.5,6,false
P0007,VoltEdge Footwear Mini,Clothing,Footwear,VoltEdge,Multi,L,0.6,Food,VO-FO-573,SKU-0007,609983798360,41.84,24.44,Sports Wholesale,90 days,2021-01-06,4.4,655,false
P0008,ZenLeaf Fitness Classic,Sports,Fitness,ZenLeaf,Brown,M,1.12,Fabric,ZE-FI-596,SKU-0008,720538961885,140.47,82.82,Home Essentials,1 year,2022-06-13,4.5,643,false
P0009,ComfortWear Educational Mini,Toys,Educational,ComfortWear,Multi,OneSize,0.76,Glass,CO-ED-652,SKU-0009,153068548592,19.76,9.07,Tech Supplies Inc,6 months,2023-12-21,4.1,198,false
P0010,JavaPure Lighting Plus,Home,Lighting,JavaPure,Blue,XL,0.74,Wood,JA-LI-014,SKU-0010,667523876457,105.27,61.27,Toy Factory Ltd,6 months,2023-09-21,4.1,421,false
