equipment_id,equipment_name,equipment_type,plant_code,work_center,manufacturer,acquisition_date,theoretical_capacity_hour,installation_status
EQ-P01-0001,Solder Station G,Soldering,P01,WC-SOL-02,BTU International,2024-07-19,238,Active
EQ-P01-0002,Wave Solder Beta,Wave Solder,P01,WC-WSL-01,Heller Industries,2025-01-23,105,Active
EQ-P01-0003,X-Ray System G,X-Ray,P01,WC-XRY-01,Nikon Metrology,2021-01-28,200,Active
EQ-P01-0004,Assembly Station 6,SMT Assembly,P01,WC-SMT-03,Panasonic,2022-12-30,89,Active
EQ-P01-0005,Conformal Coater Eta,Coating,P01,WC-COT-01,Nordson,2022-02-01,138,Active
EQ-P01-0006,SMT Line 9,SMT Assembly,P01,WC-SMT-03,Juki,2025-03-25,191,Active
EQ-P01-0007,X-Ray Inspector Gamma,X-Ray,P01,WC-XRY-01,Nordson,2018-09-12,108,Active
EQ-P01-0008,Wave Solder 2,Soldering,P01,WC-SOL-01,Heller Industries,2021-01-10,212,Active
EQ-P01-0009,Functional Tester 2,Test Station,P01,WC-TST-02,National Instruments,2018-03-30,224,Active
EQ-P01-0010,X-Ray Inspector IV,X-Ray,P01,WC-XRY-01,Dage,2021-11-09,119,Maintenance
EQ-P01-0011,Wave Solder G,Wave Solder,P01,WC-WSL-01,Pillarhouse,2016-11-23,58,Active
EQ-P01-0012,Stencil Printer 5,Printing,P01,WC-PRT-01,MPM,2023-09-24,217,Active
EQ-P01-0013,Reflow Oven H,Reflow,P01,WC-RFL-02,Heller Industries,2017-10-04,193,Active
EQ-P01-0014,X-Ray System G,X-Ray,P01,WC-XRY-01,Viscom,2024-07-24,180,Active
EQ-P01-0015,SMT Cell C,SMT Assembly,P01,WC-SMT-01,Fuji Corporation,2017-03-25,224,Active
EQ-P01-0016,Selective Solder IV,Soldering,P01,WC-SOL-02,Ersa,2020-03-06,114,Maintenance
EQ-P01-0017,SMT Cell 2,SMT Assembly,P01,WC-SMT-03,Fuji Corporation,2017-06-29,214,Active
EQ-P01-0018,SPI System Alpha,Inspection,P01,WC-INS-01,Saki,2018-01-06,234,Active
EQ-P01-0019,Wave System Plus,Wave Solder,P01,WC-WSL-01,Pillarhouse,2019-04-14,100,Active
EQ-P01-0020,AOI Inspector Prime,Test Station,P01,WC-TST-01,Thermotron,2025-11-23,78,Maintenance
EQ-P01-0021,AOI Inspector Zeta,Inspection,P01,WC-INS-01,Nordson,2025-02-25,237,Active
EQ-P01-0022,Solder Station V,Soldering,P01,WC-SOL-01,Nordson,2019-12-13,92,Active
